"Employee_id","Name","Gender","tel","Address","Salary","work_on"
"6101050007","Teerasil Mangda","M","0895677890","31/40
Dusit vil 2
seri,Thonburi
Bangkok,10220","9000","3"
"6101050008","Kanchana  Sangthong","F","0899644226","31/40
Rachathani vil 2
Khong-thanon,Saimai
Bangkok,10220","21500","6"
"6101050009","Jirrayu Mukrata","M","0894677823","31/40
Rachathani vil 2
Khong-thanon,Saimai
Bangkok,10220","22500","5"
"6101060001","Bandit Nguengthong","M","0978977809","41/40
Rachapluek
Khong-thanon,Ladprow
Bangkok,10220","9000","6"
"6101060002","Ponnawat Hatdern","M","0858958076","32/80
Rachathani vil 3
Khong-thanon,Bangrak
Bangkok,10300","9000","3"
"6101060003","Ranee  Yeeha","F","085895846","31/40
Rachathani vil 
Khong-thanon,Klongtoei
Bangkok,10220","9000","5"
"6101060004","Abdun   salman","M","0858327369","31/40
Rachathani vil 2
angridunang,Phatumwan
Bangkok,10400","9000","1"
"6101060005","Nutsara  Sakaegi","F","0899647890","31/40
Rachathani vil 2
Khong-thanon,Saimai
Bangkok,10220","21500","1"
"6101060006","Pongbaworn Rattanapan","M","0898766771","718
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","25000","2"
"6101060007","Dalunah  pachok","F","0899643460","719
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","22500","6"
"6101060008","Kanchhana   Lalok","F","0899644569","717
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","21500","5"
"6101060009","Kevin  Deeromram","M","0899644280","716
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","4"
"6101060010","Thanathep  Semha","M","0899644231","715
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","3"
"6101070001","Natthapan sandee","M","0877644553","730
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","21500","3"
"6101070002","Teeyai Saetang","M","0877644552","731
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","21000","2"
"6101070003","Kanin Suksira","F","0855646728","732
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","4"
"6101070004","Pinyo  Aromdee","M","0614567890","733
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","1"
"6101070005","Thanakarn   Nganyer","F","0613457832","734
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","22500","1"
"6101070006","Nattapol  Kondee","M","0613457379","735
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","27000","6"
"6101070007","Atirut  Chutachareonsuk","M","0613457457","736
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","5"
"6101070008","Natchapol  Konkayan","M","0613457788","737
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","23000","1"
"6101070009","Varaporn   Kitsawat","F","0613457908","738
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","22000","2"
"6101070010","Worrawan Kittiyakorn","F","0613457980","739
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","3"
"6101080001","Alongkorn Mahitsaya","M","0613978000","740
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","21500","4"
"6101080002","Sirawit  Kotcahsarn","M","0613978022","741
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","21500","3"
"6101080003","Jirayu  Plutake","M","0613978033","742
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","1"
"6101080004","Yada Mahanoi","F","0613978044","743
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","2"
"6101080005","Prapaporn Nornyang","F","0613978099","744
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","6"
"6101080006","Thanatorn  Worndon","M","0609879342","745
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","4"
"6101080007","Tharadol  Kondee","M","0858958043","746
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","21000","3"
"6101080008","Watson Yuyong","M","0858955677","747
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","22500","1"
"6101080009","Chakkrit  Bunprasert","M","0858943667","748
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","4"
"6101080010","Kumpol  Kuwitnich","M","0858943378","749
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","5"
"6101090001","Punnawit   Kityer","M","0878787788","600
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","21500","6"
"6101090002","Punnatorn  nornlub","M","0878786655","601
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","5"
"6101090003","Somsri   Sudjathum","F","0609879977","602
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","21500","1"
"6101090004","Urairat  Cadthai","F","0613979021","603
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","24000","3"
"6101090005","Chanakorn  Banzoa","F","0613976755","604
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","2"
"6101090006","Panut  Woraniphitphan","M","0613339984","501
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","22500","6"
"6101090007","Kittisak  Theingwong","M","0614449984","502
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","21500","5"
"6101090008","Suprem  Chandee","M","0615559984","503
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","4"
"6101090009","Phanuwat Wataya","M","0616669984","504
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","3"
"6101090010","Sornsiri Nitipong","M","0617779984","505
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","22500","1"
"6101100001","Wasu  Suprakorn","M","0619978066","506
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","1"
"6101100002","Dechathorn  Lersatarn","M","0617978066","507
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","22500","3"
"6101100003","Jirakit Ketdee","M","0614978066","508
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","4"
"6101100004","Worramate  Kittipolrit","M","0613958066","509
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","5"
"6101100005","Thanapon Jaidee","M","0613968066","510
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","1"
"6101100006","Sittisak Ponthaisong","M","0614566567","401
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","21000","4"
"6101100007","Sahatsawat Ketmukda","M","0613457855","402
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","4"
"6101100008","Supitcha  Racapang","F","0613459088","403
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","22500","3"
"6101100009","Willawan  Chantem","F","0609879900","404
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","5"
"6101100010","Nawamuk  Maluengnon","M","0858957785","405
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","2"
"6101110001","Chayakorn  Nornlaewna","M","0852367782","300
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","22500","6"
"6101110002","Akaradech  Dechochai","M","0853267782","301
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","21500","3"
"6101110003","Sarach  Yupen","M","0854147782","302
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","21000","2"
"6101110004","Adisak  Kraisorn","M","0854287782","303
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","1"
"6101110005","Chanathip Songkrasai","M","0609829980","304
Rachapluke vil
Klonglord,Pranakorn
Bangkok,10500","9000","4"
"6201010001","Marisa Madee","F","0859177401","111/88
Rachathani vil 4
Khong-thanon,Saimai
Bangkok,10220","22050","2"
